school_name,address,mascot,colors
Lincoln County High School,"200 Charles Ward Elam Street Lincolnton, GA 30817",Red Devils,Red & White
Lithia Springs High School,"2520 E. County Line Road Lithia Springs, GA 30122-2799",Lions,Green & Gold
Lithonia High School,"2440 Phillips Road Lithonia, GA 30058",Bulldogs,Black & Gold
Locust Grove High School,"3275 S Ola Road Locust Grove, GA 30248",Wildcats,Royal Blue & White
Loganville High School,"100 Trident Trail Loganville, GA 30052",Red Devils,Red & White
Long County High School,"1844 GA HWY 57 Ludowici, GA 31316",Blue Tide,Columbia Blue & White
Lovejoy High School,"1587 McDonough Road Hampton, GA 30228",Wildcats,Columbia Blue & Navy
The Lovett School,"4075 Paces Ferry Road, NW Atlanta, GA 30327-3099",Lions,Blue & White
Lowndes High School,"1606 Norman Drive Valdosta, GA 31601-3598",Vikings,Crimson & White
Luella High School,"603 Walker Drive Locust Grove, GA 30248-2052",Lions,"Navy, Silver & Maroon"
Lumpkin County High School,"2001 Indian Drive Dahlonega, GA 30533-3206",Indians,Purple & Vegas Gold
M. L. King High School,"3991 Snapfinger Road Lithonia, GA 30038",Lions,Crimson & Silver
Macon County High School,"611 Vienna Road Montezuma, GA 31063-1274",Bulldogs,Red & Gray
Madison County High School,"600 Madison Street Danielsville, GA 30633",Red Raiders,Red & Gray
Manchester High School,"405 5th Avenue, N Manchester, GA 31816",Blue Devils,Blue & White
Marietta High School,"1171 Whitlock Avenue Marietta, GA 30064-2276",Blue Devils,Navy & White
Marion County High School,"1 Eagle Drive Buena Vista, GA 31803",Eagles,Red & Black
Marist School,"3790 Ashford Dunwoody Rd, NE Atlanta, GA 30319-1899",War Eagles,Blue & Gold
Mary Persons High School,"300 Montpelier Avenue Forsyth, GA 31029",Bulldogs,Black & Gold
Benjamin E. Mays High School,"3450 Benjamin E. Mays Drive Atlanta, GA 30331",Raiders,Carolina Blue & Corn Gold
McEachern High School,"2400 New Macland Road Powder Springs, GA 30127-1798",Indians,Royal Blue & Vegas Gold
McIntosh High School,"201 Walt Banks Road Peachtree City, GA 30269",Chiefs,"Kelly Green, Black & White"
McIntosh County Academy,"8945 US 17, North Darien, GA 31305-9834",Buccaneers,Red & Gold
McNair High School,"1804 Bouldercrest Road, SE Atlanta, GA 30316-3902",Mustangs,"Red, Silver & White"
Meadowcreek High School,"4455 Steve Reynolds Blvd Norcross, GA 30093",Mustangs,"Carolina Blue, White & Navy"
Metter High School,"34905 Highway 129, South Metter, GA 30439",Tigers,"Orange, White & Black"
Midtown High School,"929 Charles Allen Drive NE Atlanta, GA 30309",Knights,Cardinal & Gray
Mill Creek High School,"4400 Braselton Hwy Hoschton, GA 30548",Hawks,"Cardinal, Vegas Gold & Navy"
Miller County High School,"996 Phillipsburg Hwy Colquitt, GA 39837",Pirates,Red & White
Miller Grove High School,"2645 DeKalb Medical Parkway Lithonia, GA 30058",Wolverines,"Purple, White & Silver"
Milton High School,"13025 Birmingham Highway Milton, GA 30004",Eagles,"Red, White & Navy Blue"
Mitchell County High School,"1000 Newton Road Camilla, GA 31730",Eagles,"Red, White & Royal Blue"
Model High School,"3252 Calhoun Highway, NE Rome, GA 30161-9679",Blue Devils,Royal Blue & White
Monroe High School,"900 Lippitt Drive Albany, GA 31701",Tornadoes,green and gold
Monroe Area High School,"300 Double Springs Church Road Monroe, GA 30656",Purple Hurricanes,Purple & White
Montgomery County High School,"100 Faye D. Brewer St. Mt. Vernon, GA 30445",Eagles,"Red, White & Blue"
Morgan County High School,"1231 College Drive Madison, GA 30650",Bulldogs,"Red, Black & White"
Morrow High School,"4930 Steele Road Ellenwood, GA 30294",Mustangs,Forest Green & Vegas Gold
Mountain View High School,"2351 Sunny Hill Road Lawrenceville, GA 30043",Bears,Black & Metallic Vegas Gold
Mt. Bethel Christian Academy,"2509 Post Oak Tritt Road Marietta, GA 30062",Eagles,Navy & Gold
Mt. Paran Christian School,"1275 Stanley Road Kennesaw, GA 30152",Eagles,"Royal, White & Black"
Mt. Pisgah Christian School,"9820 Nesbit Ferry Road Johns Creek, GA 30022-5349",Patriots,"Red, White & Blue"
Mount Vernon School,"510 Mt. Vernon Highway, NE Atlanta, GA 30328",Mustangs,Navy & White
Mt. Zion High School,"280 Eureka Church Road Carrollton, GA 30117",Eagles,"Red, White & Gray"
Mt. Zion High School,"2535 Mt. Zion Parkway Jonesboro, GA 30236",Bulldogs,Red & Black
Mundy's Mill High School,"9652 Fayetteville Road Jonesboro, GA 30238",Tigers,"Navy, Orange & White"
Murray County High School,"1001 Green Road Chatsworth, GA 30705-2011",Indians,Green & White
New Hampstead High School,"2451 Little Neck Road Savannah, GA 31302",Phoenix,Burgundy & Gold
New Manchester High School,"4925 Highway 92/166 Douglasville, GA 30135-5127",Jaguars,"Scarlet, Silver & White"
Newnan High School,"190 LaGrange Street Newnan, GA 30263",Cougars,"Navy, Gold, and White"
Newton High School,"1 Ram Way Covington, GA 30014-1905",Rams,Royal Blue & White
Norcross High School,"5300 Spalding Drive Norcross, GA 30092",Blue Devils,"Blue, White & Silver"
North Atlanta High School,"4111 Northside Parkway Atlanta, GA 30327",Warriors,Silver & Black
North Clayton High School,"1525 Norman Drive College Park, GA 30349",Eagles,"Blue, White, Silver, Black"
North Cobb High School,"3400 Old Highway 293, North Kennesaw, GA 30144-1072",Warriors,"Orange, White & Blue"
North Cobb Christian School,"4500 Eagle Drive Kennesaw, GA 30144",Eagles,"Navy, Carolina Blue & White"
North Forsyth High School,"3635 Coal Mountain Drive Cumming, GA 30028-3279",Raiders,"Black, Silver & Purple"
North Gwinnett High School,"20 Level Creek Road, NE Suwanee, GA 30024",Bulldogs,"Black, Red & White"
North Hall High School,"4885 Mt. Vernon Road Gainesville, GA 30506",Trojans,"Forest Green, White, Black & Silver"
North Murray High School,"2568 Mt. Carmel Church Road Chatsworth, GA 30705",Mountaineers,Black & Gold
North Oconee High School,"1081 Rocky Branch Road Bogart, GA 30622",Titans,"Scarlet, Gold, Black"
North Paulding High School,"300 North Paulding Drive Dallas, GA 30132-5725",Wolfpack,Navy & Silver
North Springs High School,"7447 Roswell Road Sandy Springs, GA 30328",Spartans,Navy & Orange
Northeast High School,"1646 Upper River Road Macon, GA 31211-1524",Raiders,"Red, Black & Gold"
Northgate High School,"3220 Fischer Road Newnan, GA 30265",Vikings,Cardinal & White
Northside High School,"2002 American Way Columbus, GA 31909",Patriots,"Red, White & Blue"
Northside High School,"926 Green Street Warner Robins, GA 31093-2780",Eagles,Blue & White
Northview High School,"10625 Parsons Road Johns Creek, GA 30097-1717",Titans,"Navy, White & Hyper Green"
Northwest Classical Academy,"115 Brooklyn Dr Dallas, Georgia 30132",Spartans,"Gold, Navy, Gray"
Northwest Whitfield High School,"1651 Tunnel Hill-Varnell Road Tunnel Hill, GA 30755",Bruins,Blue & Orange
Oconee County High School,"2721 Hog Mountain Road Watkinsville, GA 30677",Warriors,Blue & White
Oglethorpe County High School,"749 Athens Road Lexington, GA 30648-1911",Patriots,"Red, White & Blue"
Ola High School,"357 North Ola Road McDonough, GA 30252",Mustangs,Forest Green & Vegas Gold
Osborne High School,"2451 Favor Road Marietta, GA 30060-7338",Cardinals,"Red, White, Black, Yellow"
Pace Academy,"966 W. Paces Ferry Rd, NW Atlanta, GA 30327-2699",Knights,"Navy, White & Grey"
Paideia School,"1509 Ponce De Leon Avenue Atlanta, GA 30307-1617",Pythons,Royal Blue & White
Parkview High School,"998 Cole Drive Lilburn, GA 30047",Panthers,Orange & White
Pataula Charter Academy,"18637 Hartford Street Post Office Box 332 Edison, GA 39846",Panthers,"Kelly Green, Black, Silver & White"
Paulding County High School,"1297 Villa Rica Highway Dallas, GA 30157",Patriots,"Red, White & Blue"
Peach County High School,"3665 Peach Parkway Fort Valley, GA 31030",Trojans,Black & Gold
Peachtree Ridge High School,"1555 Old Peachtree Road Suwanee, GA 30024",Lions,Royal Blue & White
Pebblebrook High School,"991 Old Alabama Road SW Mableton, GA 30126-4199",Falcons,"Navy, Burgundy & White (Black/Gold (Accent color))"
Pelham High School,"720 Barrow Avenue Pelham, GA 31779",Hornets,"Navy, Gold & White"
Pepperell High School,"3 Dragon Drive Lindale, GA 30147-1252",Dragons,"Black, Vegas Gold & White"
Perry High School,"1307 North Avenue Perry, GA 31069",Panthers,"Maroon, White & Gold"
Pickens High School,"500 Dragon Drive Jasper, GA 30143",Dragons,Kelly Green & White
Pierce County High School,"4850 County Farm Rd Blackshear, GA 31516",Bears,Blue & Silver
Pike County High School,"331 Pirate Drive Zebulon, GA 30295-3378",Pirates,Red & Gray
Pope High School,"3001 Hembree Road Marietta, GA 30062",Greyhounds,Carolina Blue & Navy
Portal High School,"27245 Highway 80, West Portal, GA 30450",Panthers,Navy & White
Prince Avenue Christian School,"2201 Ruth Jackson Road Bogart, GA 30622",Wolverines,Navy & Gold
Providence Christian Academy,"4575 Lawrenceville Highway NW Lilburn, GA 30047-3617",Storm,"Navy, Red & Silver"
Putnam County High School,"300 War Eagle Drive Eatonton, GA 31024-2304",War Eagles,"Navy, White & Red"
Quitman County High School,"173 Kaigler Road Georgetown, GA 39854-4838",Hornets,"Maroon, Yellow Gold & Black"
Rabun County High School,"230 Wildcat Hill Drive Tiger, GA 30576",Wildcats,Red & White
Rainey McCullars School of the Arts,"1700 Midtown Drive Columbus, GA 31906",Phoenix,Cyan & Grey
Randolph-Clay High School,"3451 GA Highway 266 Cuthbert, GA 39840",Red Devils,Red & Black
Redan High School,"5247 Redan Road Stone Mountain, GA 30088-2803",Raiders,Navy & Silver
Richmond Academy,"910 Russell Street Augusta, GA 30904-4116",Musketeers,Purple & Gold
Richmond Hill High School,"1 Wildcat Drive Richmond Hill, GA 31324-8809",Wildcats,Black & Gold
Ridgeland High School,"2478 Happy Valley Road Rossville, GA 30741-6009",Panthers,Black & Silver
Ringgold High School,"29 Tiger Trail Ringgold, GA 30736",Tigers,Blue & White
River Ridge High School,"400 Arnold Mill Road Woodstock, GA 30188",Knights,Navy & Vegas Gold
Riverdale High School,"160 Roberts Drive Riverdale, GA 30274",Raiders,Black & Silver
Riverwood High School,"5900 Raider Drive Sandy Springs, GA 30328-4798",Raiders,"Blue, Red & White"
Rockdale County High School,"1174 bulldog Cir NE conyers, GA 30012",Bulldogs,Red & Black
Rockmart High School,"990 Cartersville Highway Rockmart, GA 30153",Yellow Jackets,Black & Gold
Rome High School,"1000 Veteran's Memorial Hwy, NE Rome, GA 30161",Wolves,Red & Vegas Gold
Roswell High School,"11595 King Road Roswell, GA 30075",Hornets,"Green, White & Black"
Rutland High School,"6250 Skipper Road Macon, GA 31216",Hurricanes,"Green, Orange & White"
Salem High School,"3551 Underwood Road Conyers, GA 30013-2901",Seminoles,"Garnet, Vegas Gold, Black & White"
Sandy Creek High School,"360 Jenkins Road Tyrone, GA 30290-1614",Fighting Patriots,"Red, White & Blue"
Savannah High School,"400 Pennsylvania Avenue Savannah, GA 31404-1245",Blue Jackets,Royal Blue & White
Savannah Arts Academy,"500 Washington Avenue Savannah, GA 31405",Panthers,"Black, Silver & Hot Pink"
Savannah Christian Prep School,"1599 Chatham Parkway Savannah, GA 31408",Raiders,Red & White
Savannah Classical Academy,"705 East Anderson Street Savannah, GA 31401",Spartan,"Red, Silver & Navy"
Savannah Country Day School,"824 Stillwood Drive Savannah, GA 31419-2643",Hornets,Green & Gold
Savannah Early College,"400 Pennsylvania Avenue Savannah, GA 31404",Cobras,Maroon & White
Schley County High School,"2131 Highway 19 South Post Office Box 1350 Ellaville, GA 31806",Wildcats,"Black, Silver and White"
Screven County High School,"110 Halcyondale Road Sylvania, GA 30467",Gamecocks,Red & White
Seckinger High School,"3655 Sardis Church Road Buford, GA 30519",Jaguars,"Blue, Black, Gray"
Seminole County High School,"5582 Highway 39 Donalsonville, GA 39845-6202",Indians,Green & White
Sequoyah High School,"4485 Hickory Road Canton, GA 30115",Chiefs,Black & Gold
Shaw High School,"7579 Raider Way Columbus, GA 31909",Raiders,Black and Silver
Shiloh High School,"4210 Shiloh Road Snellville, GA 30039",Generals,Black & Silver
Social Circle High School,"154 Alcova Drive Social Circle, GA 30025",Redskins,"Red, White, & Black"
Sonoraville High School,"7340 Fairmount Highway, SE Calhoun, GA 30701",Phoenix,Red & Black
South Atlanta High School,"800 Hutchens Road, SE Atlanta, GA 30354-2502",Hornets,"Purple, Turquoise & White"
South Cobb High School,"1920 Clay Road Austell, GA 30106-2299",Eagles,"Navy, Orange, and White"
South Effingham High School,"1220 Noel C. Conaway Road Guyton, GA 31312",Mustangs,Cardinal & Silver
South Forsyth High School,"585 Peachtree Parkway Cumming, GA 30041-6821",War Eagles,Royal Blue & Silver
South Gwinnett High School,"2288 East Main Street Snellville, GA 30078",Comets,Blue & Gray
South Paulding High School,"1364 Winn Road Douglasville, GA 30134",Spartans,Cardinal & Vegas Gold
Southeast Bulloch High School,"9184 Brooklet-Denmark Highway Brooklet, GA 30415",Yellow Jackets,Blue & Gold
Southeast Whitfield High School,"1954 Riverbend Road SE Dalton, GA 30721-5517",Raiders,Maroon & Silver
Southwest Magnet High School,"1775 Williamson Road Macon, GA 31206-3339",Patriots,"Red, White & Blue"
Southwest Atlanta Christian Academy,"3911 Campbellton Road, SW Atlanta, GA 30331-5053",Warriors,Maroon & Gray
Southwest DeKalb High School,"2863 Kelley Chapel Road Decatur, GA 30034",Panthers,Navy Blue & Vegas Gold
Southwest Georgia STEM Charter,"185 Pecan Street Shellman, Georgia 39886",Aggie,Red and Gray
Spalding High School,"433 Wilson Road Griffin, GA 30224-4547",Jaguars,Navy & Silver
Spencer High School,"1000 Ft. Benning Road Columbus, GA 31903",Greenwave/Owls,Green & Gold
Sprayberry High School,"2525 Sandy Plains Road Marietta, GA 30066",Yellow Jackets,Black & Vegas Gold
Spring Creek Charter Academy,"2500 Vada Road Bainbridge, GA 39817",Stallions/Fillies,"Vegas Gold, Garnett, Black"
St. Francis Schools,"13440 Cogburn Road Milton, GA 30004-3647",Knights,Navy & White
St. Pius X Catholic High School,"2674 Johnson Road, NE Atlanta, GA 30345-1720",Golden Lions,"Navy, Vegas Gold & White"
St. Vincent's Academy,"207 East Liberty Street Savannah, GA 31401-4401",Saints,Royal Blue & Gold
Starr's Mill High School,"193 Panther Path Fayetteville, GA 30215-2950",Panthers,"Columbia Blue, Black & White"
Statesboro High School,"10 Coach Lee Hill Blvd Statesboro, GA 30458",Blue Devils,Blue & White
Statesboro STEAM Academy,"1718 Northside Drive E. Statesboro, GA 30458",Dragons,"Blue, Gray & Orange"
Stephens County High School,"323 Indian Trail Toccoa, GA 30577-9155",Indians,Red & Black
Stephenson High School,"701 Stephenson Road Stone Mountain, GA 30087-4616",Jaguars,Black & Royal Blue
Stewart County High School,"15582 GA 27 PO Box 706 Lumpkin, GA 31815-0706",Royal Knights,Royal Blue & Gold
Martha Ellen Stilwell School of the Arts,"2580 Mt. Zion Parkway Jonesboro, GA 30236",Stallions,N/A
Stockbridge High School,"1151 Old Conyers Road Stockbridge, GA 30281",Tigers,Green & Orange
Stone Mountain High School,"4555 Central Drive Stone Mountain, GA 30083-2599",Pirates,Red & White
Sumter County High School,"903 South Georgia Tech Parkway Americus, GA 31709",Panthers,Royal Blue & Vegas Gold
Swainsboro High School,"689 South Main Street Swainsboro, GA 30401",Tigers,Black & Gold
Taliaferro County High School,"557 Broad Street Crawfordville, GA 30631",Jaguars,Navy & Orange
Tattnall County High School,"#1 Battle Creek Warrior Blvd. Reidsville, GA 30453",Battle Creek Warriors,Navy & Vegas Gold
Taylor County High School,"52 R.L. McDougal Drive Butler, GA 31006",Vikings,"Navy, Old Gold & White"
Richmond County Technical Career Magnet School,"3200B Augusta Tech Drive Augusta, GA 30906",White Tigers,"Red, White & Blue"
Telfair County High School,"458 South Third Avenue McRae, GA 31055",Trojans,"Black, White & Columbia Blue"
Temple High School,"589 Sage Street Temple, GA 30179",Tigers,Black & Gold
Terrell County High School,"201 Greenwave Blvd Dawson, GA 39842",Greenwave,Green & Gold
Therrell High School,"3099 Panther Trail, SW Atlanta, GA 30311",Panthers,Red & Black
Thomas Co. Central High School,"4686 U. S. Hwy 84 Bypass Thomasville, GA 31792",Yellow Jackets,Blue & Gold
Thomasville High School,"315 South Hansell Street Thomasville, GA 31792-5698",Bulldogs,Red & Gold
Thomson High School,"1160 Whiteoak Road PO Box 1077 Thomson, Georgia 30824",Bulldogs,Black & Gold
Tift County High School,"One Blue Devil Way Tifton, GA 31794",Blue Devils,Blue & White
Toombs County High School,"500 Bulldog Road Lyons, GA 30436-4961",Bulldogs,"Red, Navy & White"
Towers High School,"3919 Brookcrest Circle Decatur, GA 30032-3815",Titans,Maroon & Gray
Towns County High School,"1400 US Highway 76, E Hiawassee, GA 30546-2008",Indians,Blue & White
Treutlen High School,"7892 Georgia Highway 29 Soperton, GA 30457",Vikings,Red & Black
Tri-Cities High School,"2575 Harris Street East Point, GA 30344",Bulldogs,"Red, Black & Silver"
Trinity Christian School,"8817 Highway 54 West Sharpsburg, GA 30277",Lions,"Purple, Black & White"
Trion High School,"919 Allgood Street Suite 3 Trion, Georgia 30753",Bulldogs,Blue & White
Troup High School,"1920 Hamilton Road LaGrange, GA 30241",Tigers,Blue & Gold
Tucker High School,"5036 LaVista Road Tucker, GA 30084",Tigers,"Maroon, Gold & White"
Turner County High School,"316 Lamar Street Ashburn, GA 31714",Titans,Orange & Blue
Twiggs County High School,"375 Watson Drive Jeffersonville, Georgia 31044",Cobras,Black & Vegas Gold
Union County High School,"153 Panther Circle Blairsville, GA 30512",Panthers,Purple & Gold
Union Grove High School,"120 East Lake Road McDonough, GA 30252-4812",Wolverines,Maroon & Gray
Upson-Lee High School,"268 Knight Trail Thomaston, GA 30286",Knights,"Black, silver, purple"
Utopian Academy for the Arts High School,"2299 Old Rex Morrow Road Morrow, GA 30260",Eagles,"Burgundy, Black, Silver"
Valdosta High School,"4590 Inner Perimeter Road Valdosta, GA 31602",Wildcats,Black & Gold
Veterans High School,"340 Piney Grove Road Kathleen, GA 31047-2605",Warhawks,"Red, White & Blue"
Vidalia High School,"901 North Street West Vidalia, GA 30474",Indians,"Maroon, Vegas Gold & Black"
Villa Rica High School,"600 Rocky Branch Road Villa Rica, GA 30180",Wildcats,Purple & Gold
W. D. Mohammed High School,"735 Fayetteville Road, SE Atlanta, GA 30316-2309",Caliphs,Blue & White
Walker School,"700 Cobb Parkway, North Marietta, GA 30062-2404",Wolverines,Maroon & Gold
Walnut Grove High School,"4863 Gutherie Cemetery Road Loganville, GA 30052",Warriors,"Green, Black & Silver"
Walton High School,"1590 Bill Murdock Road Marietta, GA 30062-1590",Raiders,"Red, White & Blue"
Ware County High School,"700 Victory Drive Waycross, GA 31503",Gators,"Green, Gold & White"
Warner Robins High School,"401 South Davis Drive Warner Robins, GA 31088",Demons,Cardinal & White
Warren County High School,"1253 Atlanta Highway, NW Warrenton, GA 30828-0192",Screaming Devils,"Blue, Gold & White"
Washington High School,"45 White House Drive SW Atlanta, GA 30314",Bulldogs,Royal Blue & White
Washington County High School,"420 Riddleville Road P.O. Box 1057 Sandersville, GA 31082",Golden Hawks,"Black, White & Gold"
Washington-Wilkes High School,"1182 Tignall Road Washington, GA 30673",Tigers,Blue & Gold
Wayne County High School,"One Jacket Drive Jesup, GA 31545",Yellow Jackets,Black & Vegas Gold
The Weber School,"6751 Roswell Road Atlanta, Georgia 30328",Rams,Navy Blue & White
Webster County High School,"7168 Washington Street Preston, GA 31824",Bobcats,Navy & Carolina Blue
Wesleyan School,"5405 Spalding Drive Peachtree Corners, GA 30092-2614",Wolves,"Green, Gold & White"
West Forsyth High School,"4155 Drew Road Cumming, GA 30040-9441",Wolverines,"Green, Navy & Vegas Gold"
West Hall High School,"5500 McEver Road Oakwood, GA 30566",Spartans,Navy & Silver
West Laurens High School,"3692 Highway 257 Dexter, GA 31019",Raiders,Royal Blue & White
Westlake High School,"2400 Union Road, SW Atlanta, GA 30331",Lions,"Blue, Silver & White"
Westminster School,"1424 W. Paces Ferry Rd, NW Atlanta, GA 30327-2486",Wildcats,Green & White
Westover High School,"2600 Partridge Lane Albany, GA 31707",Patriots,"Red, White & Blue"
Westside High School,"2851 Heath Road Macon, GA 31206-5247",Seminoles,Garnet & Gold
Westside High School,"1002 Patriots Way Augusta, GA 30907",Patriots,"Red, White & Blue"
Wheeler High School,"375 Holt Road Marietta, GA 30068",Wildcats,"Navy, Gold & White"
Wheeler County High School,"50 Snowhill Road Alamo, GA 30411",Bulldogs,Red & Black
White County High School,"2600 Highway 129 North Cleveland, GA 30528",Warriors,"Navy, White & Gray"
Whitefield Academy,"1 Whitefield Drive Smyrna, GA 30126",WolfPack,Navy & Vegas Gold
Whitewater High School,"100 Wildcat Way Fayetteville, GA 30215-7823",Wildcats,"Cardinal, Silver & Black"
Wilcox County High School,"1358 HWY 215 South Rochelle, GA 31079",Patriots,"Royal Blue, White & Gold"
Wilkinson County High School,"11481 Highway 57 Post Office Box 547 Irwinton, GA 31042",Warriors,Blue & Gold
Winder-Barrow High School,"272 North Fifth Avenue Winder, GA 30680",Bulldoggs,Red & Black
Windsor Forest High School,"12419 Largo Dr Savannah, GA 31419",Knights,Green & White
Woodland High School,"800 Old Alabama Road Cartersville, GA 30121",Wildcats,"Cardinal, Navy & Silver"
Woodland High School,"800 North Mosley Drive Stockbridge, GA 30281-2904",Wolfpack,Red & White
Woodstock High School,"2010 Towne Lake Hills South Drive Woodstock, GA 30189",Wolverines,"Navy, Cardinal & White"
Woodville-Tompkins High School,"151 Coach Joe Turner Street Savannah, GA 31408",Wolverines,Royal Blue & White
Woodward Academy,"1662 Rugby Avenue College Park, GA 30337",War Eagles,Red & White
Woody Gap School,"2331 State Highway 60 Suches, GA 30572-2903",Falcons,Maroon & Gold
Worth County High School,"407 West Bryant Drive Sylvester, GA 31791",Rams,Black & Gold
